col1,col2
0.0025,0.0
0.0075,0.0
0.0125,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.0525,0.0
0.0575,0.0
0.0625,0.0
0.0675,0.0
0.0725,0.0
0.0775,0.0
0.0825,0.0
0.0875,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.1475,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.1775,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.1975,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.2275,0.0
0.2325,0.0
0.2375,0.0
0.2425,0.0
0.2475,0.0
0.2525,0.0189699
0.2575,0.341459
0.2625,2.29536
0.2675,5.12188
0.2725,7.49312
0.2775,8.63132
0.2825,10.8698
0.2875,9.31424
0.2925,11.5527
0.2975,12.1977
0.3025,13.6394
0.3075,14.3413
0.3125,15.6881
0.3175,15.4605
0.3225,14.3792
0.3275,13.7532
0.3325,13.222
0.3375,12.1787
0.3425,10.6232
0.3475,8.87793
