col1,col2
0.0025,0.0
0.0075,0.0
0.0125,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.0525,0.0
0.0575,0.0
0.0625,0.0
0.0675,0.0
0.0725,0.0
0.0775,0.0
0.0825,0.0
0.0875,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.1475,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.1775,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.1975,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.2275,0.0
0.2325,0.0
0.2375,0.0
0.2425,0.0
0.2475,0.0
0.2525,0.048434
0.2575,0.500484
0.2625,4.60123
0.2675,11.721
0.2725,21.2302
0.2775,27.3168
0.2825,28.3177
0.2875,23.7649
0.2925,19.422
0.2975,15.7895
0.3025,13.8521
0.3075,8.63739
0.3125,6.47401
0.3175,5.36003
0.3225,3.79399
0.3275,2.84146
0.3325,2.11495
0.3375,1.77591
0.3425,1.43687
0.3475,1.00097
