col1,col2
0.0025,0.0
0.0075,0.0
0.0125,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.0525,0.0
0.0575,0.0
0.0625,0.0
0.0675,0.0
0.0725,0.0
0.0775,0.0
0.0825,0.0
0.0875,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.1475,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.1775,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.1975,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.2275,0.0
0.2325,0.0
0.2375,0.0
0.2425,0.0
0.2475,0.0
0.2525,0.0182232
0.2575,0.0911162
0.2625,0.710706
0.2675,2.75171
0.2725,7.89066
0.2775,16.1093
0.2825,21.1025
0.2875,25.6948
0.2925,23.508
0.2975,21.467
0.3025,17.5854
0.3075,14.6697
0.3125,11.8087
0.3175,9.03872
0.3225,6.96128
0.3275,5.43052
0.3325,5.26652
0.3375,4.02734
0.3425,3.28018
0.3475,2.5877
