col1,col2
0.0025,0.0
0.0075,0.0
0.0125,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.0525,0.0
0.0575,0.0
0.0625,0.0
0.0675,0.0
0.0725,0.0
0.0775,0.0
0.0825,0.0
0.0875,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.1475,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.1775,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.1975,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.2275,0.0
0.2325,0.0
0.2375,0.0
0.2425,0.0
0.2475,0.0
0.2525,0.0856409
0.2575,1.08478
0.2625,5.70939
0.2675,17.328
0.2725,31.2589
0.2775,36.7399
0.2825,30.8022
0.2875,24.9215
0.2925,15.0728
0.2975,11.7899
0.3025,7.10819
0.3075,5.62375
0.3125,3.45418
0.3175,2.3694
0.3225,1.51299
0.3275,1.31316
0.3325,1.14188
0.3375,1.17043
0.3425,0.799315
0.3475,0.713674
